148+0i 1.16577450406795+0i 0.872091797053001+0.0634836900629064i 0.592500177139548+0.0179703925003015i -0.116498343108782+0i
149+0i 1.18047010073696+0i 0.870479731480168+0.0651946212735443i 0.590249025475845+0.0193305036062489i -0.111302337329638+0i
150+0i 1.19454679864466+0i 0.868936149771579+0.0668224164646027i 0.587902117962372+0.0206340368633331i -0.106124319825814+0i
151+0i 1.20792043789058+0i 0.86747068052611+0.0683512808844314i 0.585443332427989+0.0218511648299815i -0.100958113856273+0i
152+0i 1.22069086868637+0i 0.866073648978917+0.0697719357262302i 0.582861407625409+0.0229489289648942i -0.0957707008715737+0i
153+0i 1.23288339811018+0i 0.864742687324247+0.071079725974649i 0.580150462284288+0.0239085454412084i -0.0905494549978044+0i
154+0i 1.24449102104138+0i 0.863477462246472+0.0722915576638901i 0.577317265079892+0.0247236280765161i -0.0853015951485184+0i
155+0i 1.25565432535542+0i 0.862263871177524+0.0734076942046032i 0.574371570758728+0.0253713906331756i -0.0800121777981136+0i
156+0i 1.26641505137314+0i 0.861096922272026+0.0744373730627785i 0.571330293836482+0.0258478005035883i -0.0746930636914507+0i
157+0i 1.27672129232294+0i 0.859980993725728+0.0754021309911583i 0.568226670269464+0.0261641207578344i -0.069392793952759+0i
158+0i 1.28672245549859+0i 0.858900168720449+0.0763120272183632i 0.565087925439465+0.0263269052944883i -0.0641156003246085+0i
159+0i 1.29642024812699+0i 0.85785278167166+0.0771894305429341i 0.561948250730167+0.0263582080983411i -0.0589007931114866+0i
160+0i 1.30587121127871+0i 0.856832721877985+0.0780444375917212i 0.558840694540444+0.0262727306209548i -0.0537774624906882+0i
161+0i 1.31510956521722+0i 0.855834896454216+0.0788942334286835i 0.555794766451041+0.0260935468440738i -0.0487730818902886+0i
162+0i 1.32415333436111+0i 0.854857668126188+0.0797415646760401i 0.552849538368384+0.0258324535579931i -0.0439284959016297+0i
163+0i 1.3330917307784+0i 0.853890079172752+0.0806044934964308i 0.550023121597554+0.0255113212725185i -0.0392481217219737+0i
164+0i 1.34198522322353+0i 0.852925360689493+0.0814894042990688i 0.547331358129325+0.0251465051063964i -0.0347393440879157+0i
165+0i 1.35084806408185+0i 0.851960932004762+0.0824073648241255i 0.544791228886249+0.0247529384746127i -0.0304190103265893+0i
166+0i 1.35982402132563+0i 0.850981030332715+0.0833679161861946i 0.542397624562937+0.0243375157822771i -0.0262563917173399+0i
167+0i 1.3690032332667+0i 0.849975376255836+0.0843834127885i 0.540150476456775+0.0239099136676202i -0.0222371881330366+0i
168+0i 1.37849436043612+0i 0.848931455166224+0.0854591020111044i 0.538036934606923+0.0234802736352647i -0.0183258098566626+0i
169+0i 1.38851701487835+0i 0.84782628847814+0.0866077944583779i 0.536034727334564+0.0230490460112712i -0.0144632260615492+0i
170+0i 1.39914452396862+0i 0.846650964078573+0.0878411083187108i 0.534126220948374+0.0226166523190164i -0.0106184045847512+0i
